id,lon,lat,vole
1,-122,38,1
2,-122.31,37.89,1
3,-122.3,37.86,1
4,-122.24,37.86,1
5,-122.09,37.5,1
6,-122,37,1
7,-120,39,1
8,-121,38,1
9,-122,40,1
10,-122,39,1
11,-120,38,1
12,-123,39,1
13,-122.6,39,1
14,-122.28,37.92,1
15,-122.23,37.88,1
16,-122.19,37.87,1
17,-122.15,38,1
18,-124,42,1
19,-123.49,43.06,1
20,-123.41,43.12,1
21,-123,44,1
22,-123,43,1
23,-121,39,1
24,-115,31,1
25,-119,37,1
26,-120,37,1
27,-123,40,1
28,-124,41,1
29,-124.13,40.86,1
30,-124.05,40.53,1
31,-124,40,1
32,-123.95,41.45,1
33,-124,40.01,1
34,-123.97,40.49,1
35,-123.9,40,1
36,-118,37,1
37,-118.05,37.44,1
38,-118.03,36.31,1
39,-116,36,1
40,-118.12,36.55,1
41,-118,36,1
42,-123,42,1
43,-122,42,1
44,-119,36,1
45,-119,35,1
46,-118,35,1
47,-118.45,35.11,1
48,-118.8,35.49,1
49,-120,35,1
50,-119,35.16,1
51,-118.31,36,1
52,-120,36,1
53,-122.95,39.44,1
54,-121,41,1
55,-121,40,1
56,-118.77,34.63,1
57,-118.51,34.42,1
58,-118,34,1
59,-118.22,34.73,1
60,-118.15,34.15,1
61,-118.38,34.01,1
62,-118.24,34.04,1
63,-117.7,34.15,1
64,-117.67,34.2,1
65,-118,34.79,1
66,-123,38,1
67,-122.85,38.1,1
68,-122.25,38.1,1
69,-123.57,38.8,1
70,-121,37,1
71,-121,36.89,1
72,-121,42,1
73,-119,38,1
74,-118,38,1
75,-124.15,40.6,1
76,-121,36,1
77,-121.91,36.55,1
78,-121.91,36.49,1
79,-118.08,33.74,1
80,-117.81,33.85,1
81,-117,34,1
82,-120.83,39.2,1
83,-120,40,1
84,-117.16,33.98,1
85,-117,33,1
86,-117.39,33.93,1
87,-117,34.03,1
88,-116,34,1
89,-120.63,36.35,1
90,-117.69,33.94,1
91,-117.69,33.98,1
92,-117,34.2,1
93,-117,35,1
94,-117.3,35,1
95,-116.94,34.22,1
96,-117,34.25,1
97,-116.89,34.17,1
98,-117.15,33,1
99,-117,33.35,1
100,-117.08,33.11,1
101,-117.07,32.78,1
102,-117,32.64,1
103,-116.78,32.64,1
104,-116.6,33.07,1
105,-116.6,33.21,1
106,-116.44,32.97,1
107,-116.38,32.78,1
108,-116,33,1
109,-116.1,32.67,1
110,-121,37.67,1
111,-120.6,35,1
112,-122.41,38,1
113,-122.38,38,1
114,-122.32,38,1
115,-122.41,37.61,1
116,-122.39,37.58,1
117,-122.39,37.63,1
118,-122.25,37.54,1
119,-119.79,34.42,1
120,-120,34.4,1
121,-122.18,37,1
122,-122.06,36.94,1
123,-122,41,1
124,-123,41,1
125,-122.2,41.97,1
126,-122,38.2,1
127,-122.04,38.21,1
128,-121.9,38.14,1
129,-122.65,38,1
130,-124,40.5,1
131,-124,40.49,1
132,-119.1,36.24,1
133,-119.85,37.87,1
134,-119.19,34.47,1
135,-119,34.8,1
136,-118.75,34.51,1
137,-119.26,34,1
138,-122,38.69,1
139,-122.71,42,1
140,-118.59,34.25,1
141,-118.37,34.46,1
142,-118.15,34,1
143,-116.35,32.6,1
144,-116.1,31,1
145,-116,31,1
146,-116,32,1
147,-115,30,1
